time="2023-12-11T08:06:28.302390759-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:28.57754437-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:28.717912718-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:28.931014862-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.006532969-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.09231726-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.479048632-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.482754853-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.48851463-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.899668823-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.984250912-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:29.990604881-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:30.090892424-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:30.376496954-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:30.3870227-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:30.476696362-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:31.372344727-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:31.470132525-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:31.679217469-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:31.77434007-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.375214759-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.379558929-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.677677669-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.677946623-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.678129771-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.776086068-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:32.970446719-07:00" level=warning msg="Failed to invoke checkoutservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:33.270003756-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:33.770187663-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:33.770315284-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:33.869303082-07:00" level=warning msg="Failed to invoke producer.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
time="2023-12-11T08:06:34.172103824-07:00" level=warning msg="Failed to invoke recommendationservice.default.192.168.1.240.sslip.io:80, err=rpc error: code = Unavailable desc = no healthy upstream"
